pano|pmes|conglome|submuestra|vivienda|hogar|codperso|dominio|estrato|codpanel|p103|p104|p105|p106|p107|p108|p109a|p109b|p109c|p200n|p200i|p200a|p200b|p200bb|p200c|p200d|p200dd|p200e|p200f|p200g|p201|p202|p203|p204|p2041|p2042|p2043|p2044|p2045|p2046|p2047|p2048|p2049|p20410|p20411|p204a|p205a|p206|P206AA|p207a|p207b|p208b1|p208b2|p208b3|p209a|p209b|p209c|p209d|p209e|p209f|p209g|p209t|p209bb|p209cc|p209h|p209ee|p210|p211a|p211b|p212a|p212b|p212c|p212d|p212e|p213|p214|p215|p216|p217|p218|p219|p220|p222|P223A1|P223A2|P223A3|P223A4|P223A5|P223A6|P223A7|P224|P225|ocu200|i211a|i211b|i212a|i212b|i212c|i212d|ingtot|ingprin|resident|fa_def21
2020|12|018112|004|0085|11|01|8|1|19121101|1|1|2||1|22|9|5||1|1|13|12|2020|19|12|2020|25|5|1965|2|1||||||||||||||421|1312|3|5|2||||1997|0|0|0|0|0|0|0|0|2|48|1|2|4|750|0|||||1|||||||||5|0|0|0|0|0|0|1|6|4|2|0|0|||||0|0|1|253.914892543767
2021|01|017801|003|0117|11|03|8|1|21011103|3|1|2||2|21|6|5||3|3|27|12|2020|2|1|2021|1|1|2000|1|||||||||||||||942|5610|5|5|1|4|||2018|8|6|6|6|6|6|8|46|1||1|2|||||||||||||||||5|0|0|0|0|0|0|1|7|6|1|||||||0|0|1|445.07164385126
2021|01|027367|002|0119|11|01|8|1|21011101|1|1|2||2|32|10|5||1|1|17|1|2021|23|1|2021|29|7|1988|2|1||||||||||||||242|8521|3|5|2|||2|2019|0|0|0|0|0|0|0|0|2|40|1|2|4|5000|0|||||1|||||||||3|0|0|0|0|0|0|1|5|6|1|5000|0|||||5000|5000|1|441.11097268715
2020|12|018112|004|0086|11|01|8|1|20121101|1|1|2||1|43|8|3||1|1|13|12|2020|19|12|2020|30|6|1977|1|||||||||||||||314|4520|2||1|1|5|1|2020|0|4|4|4|0|4|4|20|2|40|1|1||||600|0|346|0|0|||||||||5|0|0|0|0|0|0|1|6|6|1|||600|0|346|0|946|600|1|389.290459937959
2021|01|017801|003|0117|11|02|8|1|21011102|2|1|2||2|52|6|5||2|2|27|12|2020|2|1|2021|5|8|1968|1|||||||||||||||364|5610|1||1|4|||2008|10|10|10|10|10|10|10|70|1||1|2||||3031|0|||1|||||||||5|0|0|0|0|0|0|1|7|6|1|||3031|0|||3031|3031|1|255.289212552489
2020|12|028646|004|0103|11|02|8|1|19121102|2|1|2||1|27|7|1||2|2|13|12|2020|19|12|2020|5|12|1993|1|||||||||||||||984|4772|4|5|1|6||10|2019|0|10|10|10|10|10|10|60|2|66|1|2|2|300|0|||||1|||||||||1|0|0|0|0|0|0|1|6|3|1|1299|0|||||1299|1299|1|673.258710229925
2020|12|028758|005|0159|11|05|8|1|20121105|3|1|2||1|51|8|3||5|2|13|12|2020|19|12|2020|21|11|1969|1|||||||||||||||13|8422|3|1|2||||1990|0|8|8|8|8|8|0|40|1||1|2|4|3500|134|||||1|||||||||4|0|0|0|0|0|0|1|6|3|1|3500|134|||||3634|3634|1|562.030708122201
2021|02|022635|003|0129|11|03|8|1|21021103|3|1|2||2|26|10|5||3|3|31|1|2021|6|2|2021|13|8|1994|1|||||||||||||||364|4759|3|5|1|20|||2018|0|9|0|9|0|9|3|30|2|45|1|2|4|900|0|||||1|||||||||1|0|0|0|0|0|0|1|6|3|1|900|0|0|0|0|0|900|900|1|863.097073602032
2021|02|090769|001|0019|11|08|8|1|21021108|3|1|2||1|25|10|5||8|8|31|1|2021|6|2|2021|1|12|1995|1|||||||||||||||312|7490|3|5|1|30|3|2|2021|0|0|0|8|8|8|8|32|2|48|1|1|4|2200|0|||||1|||||||||5|0|0|0|0|0|0|1|6|3|1|2200|0|0|0|0|0|2200|2200|1|1149.87564540431
2020|12|017349|004|0106|11|02|8|1|19121102|3|1|2||1|26|7|1||2|2|20|12|2020|26|12|2020|25|6|1994|1|||||||||||||||572|4752|3|5|2||1|1|2020|8|8|8|8|8|0|0|40|2|48|2|2|4|1000|100|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1000|100|||||1100|1100|1|397.941359047691
2020|12|017349|004|0108|13|01|8|1|19121101|1|1|2||1|57|6|5||1|1|13|12|2020|19|12|2020|28|9|1963|1|||||||||||||||952|4100|3|5|1|3|||2013|0|18|6|18|6|5|6|59|1||2|2|4|930|350|||160|0|0|||||||||6|0|0|0|0|0|0|1|6|4|1|930|350|||160|0|1440|1280|1|246.30116213046
2020|12|017351|004|0100|11|01|8|1|19121101|1|1|2||1|57|8|3||1|1|29|11|2020|5|12|2020|18|5|1963|1|||||||||||||||351|8610|3|2|2||||1986|0|6|6|6|6|6|6|36|1||2|2|4|2500|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|2500|0|||||2500|2500|1|249.255299007587
2020|12|017351|004|0114|11|01|8|1|19121101|1|1|2||2|49|3||2|1|1|22|11|2020|28|11|2020|17|11|1971|1|||||||||||||||772|1410|4|5|1|4|15|10|2020|0|0|0|7|7|7|7|28|1||1|2|2|150|0|||||1|||||||||6|0|0|0|0|0|0|1|6|4|1|650|0|||||650|650|1|241.216729118663
2020|12|017351|004|0116|11|01|8|1|19121101|1|1|2||1|46|5|2||1|2|22|11|2020|28|11|2020|27|7|1974|1|||||||||||||||523|5610|3|5|1|30|||2000|0|8|8|8|8|8|8|48|1||2|2|4|1000|300|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1000|300|||||1300|1300|1|249.255299007587
2020|12|017351|004|0116|11|03|8|1|19121103|3|1|2||1|27|6|5||3|2|22|11|2020|28|11|2020|10|5|1993|1|||||||||||||||523|5610|3|5|1|30|15|10|2020|0|8|8|8|8|8|8|48|1||2|2|4|800|200|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|800|200|||||1000|1000|1|402.714268901337
2020|12|017355|005|0145|11|01|8|1|20121101|1|1|2||1|49|6|5||1|1|22|11|2020|28|11|2020|14|1|1971|1|||||||||||||||23|8423|3|1|2||||1996|17|7|17|7|0|17|7|72|1||2|2|4|3000|300|||||1|||||||||4|0|0|0|0|0|0|1|6|4|1|3000|300|||||3300|3300|1|246.464654438545
2020|12|017355|005|0145|11|02|8|1|20121102|3|1|2||2|31|9|1||2|2|29|11|2020|5|12|2020|1|7|1989|1|||||||||||||||945|1392|3|5|1|5|15|10|2020|0|8|8|8|8|8|8|48|1||1|2|2|180|42|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|779|182|||||961|961|1|374.55781677844
2020|12|017355|005|0146|11|01|8|1|20121101|1|1|2||1|35|6|5||1|1|22|11|2020|28|11|2020|16|1|1985|1|||||||||||||||783|4520|4|5|1|3|15|8|2020|0|9|9|9|9|9|9|54|1||2|2|2|300|0|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|1299|0|||||1299|1299|1|398.205508638828
2020|12|017355|005|0146|11|03|8|1|20121103|3|1|2||1|14|5|1||3|3|29|11|2020|5|12|2020|17|9|2006|2|2|2||2|2|2|2|2|2|2|2|1|2|2|572|4722|5|5|1|2|15|12|2019|0|3|3|3|3|3|5|20|1||2|2|||||||||||||||||6|0|0|0|0|0|0|1|8|4|1|||||||0|0|1|386.432294175928
2020|12|017390|004|0085|11|01|8|1|19121101|1|1|2||2|53|3||4|1|1|22|11|2020|28|11|2020|6|2|1967|1|||||||||||||||945|8530|4|2|2||||2005|0|0|5|0|0|5|0|10|2|48|1|2|4|930|0|||||1|||||||||1|0|0|0|0|0|0|1|1|1|1|930|0|||||930|930|1|236.736113030708
2020|12|017390|004|0085|11|03|8|1|19121103|3|1|2||1|27|6|5||3|4|22|11|2020|28|11|2020|21|2|1993|1|||||||||||||||781|2599|4|5|2||1|8|2020|0|12|12|12|12|12|12|72|1||1|1|4|1480|0|||||1|||||||||1|0|0|0|0|0|0|1|5|4|1|1480|0|||||1480|1480|1|395.233825738538
2020|12|017390|004|0086|11|01|8|1|19121101|1|1|2||1|51|5|2||1|1|22|11|2020|28|11|2020|1|10|1969|1|||||||||||||||777|1520|4|5|1|6|||2013|0|11|11|11|11|11|5|60|1||1|2|2|350|0|||||1|||||||||6|0|0|0|0|0|0|1|1|1|1|1516|0|||||1516|1516|1|244.625365972586
2020|12|017390|004|0086|11|03|8|1|19121103|3|1|2||1|27|6|5||3|3|22|11|2020|28|11|2020|1|10|1993|1|||||||||||||||945|7830|3|4|2||25|6|2020|0|10|10|10|10|10|10|60|1||2|2|4|1100|182|||173|0|0|||||||||1|0|0|0|0|0|0|1|6|4|1|1100|182|||173|0|1455|1282|1|395.233825738538
2020|12|017390|004|0086|11|04|8|1|19121104|3|1|2||1|24|7|1||4|4|22|11|2020|28|11|2020|6|6|1996|1|||||||||||||||421|4752|3|5|2||15|11|2019|0|12|8|9|10|8|5|52|2|48|1|2|2|250|42|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1083|182|||||1265|1265|1|383.548471085063
2020|12|017390|004|0087|11|03|8|1|19121103|3|1|2||1|25|8|3||3|3|22|11|2020|28|11|2020|1|10|1995|1|||||||||||||||861|4100|4|5|1|10|14|9|2020|0|8|8|8|8|8|5|45|1||1|2|2|600|0|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|2598|0|||||2598|2598|1|395.233825738538
2020|12|017390|004|0087|11|04|8|1|19121104|3|1|2||2|23|7|2||4|4|22|11|2020|28|11|2020|12|1|1997|1|||||||||||||||971|125|4|5|2||15|10|2020|4|8|8|8|8|8|4|48|1||1|2|4|930|0|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|930|0|||||930|930|1|412.726138844865
2020|12|017390|004|0087|11|05|8|1|19121105|3|1|2||2|21|6|5||5|5|22|11|2020|28|11|2020|6|6|1999|1|||||||||||||||984|1030|4|5|1|70|1|1|2020|0|11|6|10|11|8|5|51|1||1|2|4|930|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|930|0|||||930|930|1|412.726138844865
2020|12|017390|004|0087|11|06|8|1|20121106|3|1|2||1|32|6|5||6|4|22|11|2020|28|11|2020|12|6|1988|1|||||||||||||||983|4100|4|5|1|3|1|10|2020|0|8|8|8|8|8|5|45|1||2|2|2|240|0|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|1039|0|||||1039|1039|1|395.233825738538
2020|12|017390|004|0088|11|01|8|1|19121101|1|1|2||1|71|4|5||1|1|22|11|2020|28|11|2020|12|3|1949|1|||||||||||||||571|4630|5|5|1|3|1|4|2020|3|3|3|3|3|3|3|21|1||2|2|||||||||||||||||5|0|0|0|0|0|0|1|6|4|1|||||||0|0|1|244.625365972586
2020|12|017390|004|0088|11|03|8|1|19121103|3|1|2||1|32|3||5|3|3|22|11|2020|28|11|2020|8|12|1987|1|||||||||||||||945|4210|4|5|1|60|11|8|2020|0|8|8|8|8|8|5|45|1||1|2|4|2000|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|2000|0|||||2000|2000|1|395.233825738538
2020|12|017390|004|0088|11|07|8|1|20121107|3|1|2||1|39|5|3||7|7|22|11|2020|28|11|2020|24|12|1980|1|||||||||||||||877|4390|4|5|1|13|1|2|2020|0|8|8|8|8|8|8|48|1||1|2|4|1300|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1300|0|||||1300|1300|1|395.233825738538
2020|12|017390|004|0088|11|08|8|1|20121108|3|1|2||1|30|5|3||8|8|22|11|2020|28|11|2020|8|6|1990|1|||||||||||||||885|4761|4|5|2||1|9|2020|0|8|8|8|8|8|5|45|1||1|2|4|1600|0|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|1600|0|||||1600|1600|1|395.233825738538
2020|12|017390|004|0088|11|09|8|1|20121109|4|1|2||2|31|5|3||9|9|22|11|2020|28|11|2020|5|1|1989|1|||||||||||||||574|4782|3|5|1|4|||2013|0|10|8|10|8|10|8|54|2|50|1|1|4|930|208|||75|0|0|||||||||5|0|0|0|0|0|0|1|6|4|1|930|208|||75|0|1213|1138|1|371.762609190541
2020|12|017390|004|0088|11|10|8|1|19121107|9|1|2||1|54|6|5||10|10|22|11|2020|28|11|2020|28|9|1966|1|||||||||||||||951|4630|4|5|2||||2015|0|10|10|11|12|9|11|63|1||1|2|4|930|0|||||1|||||||||1|0|0|0|0|0|0|1|1|1|1|930|0|||||930|930|1|244.625365972586
2020|12|017406|004|0122|11|04|8|1|19121105|10|1|2||2|21|6|5||4|3|13|12|2020|19|12|2020|28|4|1999|1|||||||||||||||572|4752|3|5|1|3|1|9|2020|0|8|8|8|8|8|8|48|1||1|2|2|200|0|||||1|||||||||6|0|0|0|0|0|0|1|4|4|1|866|0|||||866|866|1|304.889798056451
2020|12|017406|004|0123|11|05|8|1|19121205|3|1|2||2|24|6|5||5|5|20|12|2020|26|12|2020|22|12|1996|1|||||||||||||||574|4782|3|5|1|2|1|9|2020|8|0|8|8|8|8|8|48|1||1|2|2|200|0|||||1|||||||||6|0|0|0|0|0|0|1|6|4|1|866|0|||||866|866|1|304.889798056451
2020|12|017406|004|0125|11|01|8|1|19121103|1|1|2||1|29|10|5||1|3|20|12|2020|26|12|2020|5|5|1991|1|||||||||||||||217|8411|3|2|2||1|10|2020|0|8|8|8|8|8|0|40|1||1|2|4|3000|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|3000|0|||||3000|3000|1|291.967844953469
2020|12|017406|004|0125|11|03|8|1|19121105|9|1|2||1|27|6|5||3|3|20|12|2020|26|12|2020|29|12|1993|1|||||||||||||||23|8423|3|1|2||||2015|0|16|8|16|8|16|8|72|1||1|2|4|2800|0|||||1|||||||||4|0|0|0|0|0|0|1|6|4|1|2800|0|||||2800|2800|1|291.967844953469
2020|12|017418|005|0124|11|01|8|1|20121101|1|1|2||1|39|8|3||1|1|13|12|2020|19|12|2020|1|9|1981|1|||||||||||||||313|4321|3|5|2||||2013|0|8|8|8|8|8|0|40|1||1|2|4|930|0|||||1|||||||||1|0|0|0|0|0|0|1|1|4|1|930|0|||||930|930|1|416.450259468514
2020|12|017418|005|0124|11|02|8|1|20121102|2|1|2||2|37|10|5||2|2|13|12|2020|19|12|2020|2|3|1983|1|||||||||||||||462|5229|3|5|2||||2012|0|8|8|8|8|8|0|40|1||1|2|4|1200|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1200|0|||||1200|1200|1|391.719091271586
